commit	search_em	search_rouge_w	em_type1	em_type2	em_type3	empty_count	peak_vram_gb	train_seconds	eval_seconds	status	description
deed4ce	76.79	80.57	72.07	75.63	84.01	415	5.22	470.0	251.6	discard	DeltaNet-only attention at rank 8
1cdd7c9	76.88	80.66	75.36	77.53	78.32	360	5.30	470.0	262.2	discard	uniform rank 32 at lr 2.5e-4 linear
ebd6014	78.50	82.35	76.59	80.70	79.13	353	5.25	470.0	253.2	discard	DeltaNet attention without in_proj_z + MLP 64
b84da75	77.65	81.11	73.10	80.70	81.03	394	5.28	470.0	242.8	discard	gate/up rank 32, down 64
58249f7	77.47	80.83	73.92	78.80	81.03	391	5.30	470.0	268.6	discard	adam beta2 0.95
2217c72	77.30	81.01	74.74	79.43	78.86	376	5.25	470.0	232.0	discard	DeltaNet-only attention + MLP rank 48
ade8d55	74.74	78.17	69.61	71.84	84.01	452	5.30	470.0	263.7	discard	weight_decay 0.0005 (third near-null probe: -4.95 EM)
dea2374	77.30	81.32	74.13	80.06	79.13	365	5.20	470.0	220.8	discard	lower-half MLP + DeltaNet-only attention
7cac8a3	78.33	82.25	76.18	77.53	81.84	375	5.30	470.0	266.7	discard	lora_dropout 0.3
5032c81	77.47	80.51	73.72	80.06	80.22	394	5.10	470.0	214.1	discard	small MLP-only adapter (gate/up 16, down 64)
72fa7b0	75.94	80.34	77.41	75.95	73.98	332	5.30	470.0	264.1	discard	warmup 32
339817a	77.47	81.59	75.56	79.43	78.32	366	5.35	470.0	266.2	discard	EMA of LoRA weights (decay 0.95)
33b5a65	76.88	80.95	76.18	80.38	74.80	340	5.35	470.0	267.4	discard	EMA of LoRA weights (decay 0.99)
8e8b34f	77.47	81.04	75.36	78.16	79.67	382	5.20	506.2	265.9	discard	fp32 compute (bf16 off)
e95d6f7	77.99	81.23	74.13	75.32	85.37	420	5.30	470.0	262.2	discard	lr 2.75e-4
8118eed	76.79	80.55	71.25	76.27	84.55	422	5.30	491.1	243.8	discard	lr 2.25e-4
